country,iso_alpha3,year,fdi_net_inflow,fdi_net/gdp,elec_access,gov_effect,gcf,trade,gdp_deflat,gdp/cap,school_enroll,labour
Bangladesh,BGD,2000,280384629.677982,0.525362089236087,32.0,-0.607652246952057,1717082946700.0,29.3217143619038,3.44665934914798,396.670730249751,5.25165987014771,49048139.0
Bangladesh,BGD,2001,78527040.0772573,0.145443904569924,35.0,-0.667194187641144,1853328701700.0,32.0980170730117,3.26116013222439,394.65641001891,6.17244005203247,50230500.0
Bangladesh,BGD,2002,52304931.038967,0.0955793676464671,37.8,-0.726736128330231,1990847781400.0,28.9673807211649,3.8928674350377,393.886422327628,5.91559982299805,51244757.0
Bangladesh,BGD,2003,268285231.831688,0.44596078329809,40.5,-0.838938593864441,2143294043600.0,27.657884900158,5.81581664789621,426.74880754362,5.99128007888794,52208969.0
Bangladesh,BGD,2004,448905400.707684,0.689472335587339,40.6,-0.93288254737854,2319228046300.0,26.8582341492431,4.5621363796936,455.614016909798,5.55667018890381,53140734.0
Bangladesh,BGD,2005,813321971.875195,1.17065167448603,44.2,-0.918954312801361,2545669121100.0,34.396934864465,4.58636070641845,480.08585075452,6.13484001159668,54049068.0
Bangladesh,BGD,2006,456523167.703824,0.635863899506714,50.5,-0.838699102401733,2797383696900.0,38.1119244325921,5.87593581109938,490.388026533289,7.07040023803711,54908227.0
Bangladesh,BGD,2007,651029738.054822,0.817756922700044,46.5,-0.70753276348114,2997309002500.0,39.9423826531735,6.47126010502515,537.955492792911,7.66305017471313,55892527.0
Bangladesh,BGD,2008,1328422986.5175,1.4496579161576,54.3,-0.738396406173706,3291498056000.0,42.6209140325589,7.86096609394262,613.06204104124,8.62265968322754,56846810.0
Bangladesh,BGD,2009,901286583.13086,0.879517142536145,57.1,-0.802756428718567,3534678693500.0,40.092796223023,6.76435468091874,679.211477428056,10.4939298629761,57807404.0
Bangladesh,BGD,2010,1232258246.59254,1.06896766308322,55.3,-0.753689587116241,3837410558600.0,37.8028426708321,7.14466302810841,757.385280361508,11.8801271989064,58796583.0
Bangladesh,BGD,2011,1264725163.33408,0.983399364184761,59.6,-0.772120714187622,4204303353200.0,47.4208498356898,7.85945085272492,837.336944695647,13.2663245348367,59281113.0
Bangladesh,BGD,2012,1584403459.98465,1.18850391920183,65.5,-0.807726144790649,4648602761100.0,48.1109227490467,8.16457367624635,859.680536375497,13.4211598649529,59869794.0
Bangladesh,BGD,2013,2602962095.36816,1.73532012481503,61.5,-0.797781109809875,4897983647500.0,46.2964027228174,7.17495343232414,958.262989798283,13.4900578063704,60484221.0
Bangladesh,BGD,2014,2539190939.6837,1.46870305074204,62.4,-0.775071203708649,5380682450000.0,44.5140801968096,5.66878852513904,1094.46199702838,13.5777392703559,61204476.0
Bangladesh,BGD,2015,2831152765.15514,1.4507824552936,74.0,-0.752009570598602,5763722511700.0,42.0859963070382,5.87277704102323,1224.38647668165,15.5739926180902,61920877.0
